1486555242.dat<>【悲報】嫌儲民の「じゃ」予測変換、全員「ジャップ」説 [無断転載禁止]&#169;2ch.net	 [819818695] (982)
1486550797.dat<>【画像】大人気声優の新田恵海さん、バコバコバスツアーに出演 [無断転載禁止]&#169;2ch.net	 [875920232] (124)
1486533215.dat<>このすば円盤オマケのロックマンゲームがどちゃくそ面白そうな件。あやつられたアクアやめぐみん達と戦えるぞ！ [無断転載禁止]&#169;2ch.net	 [591262568] (33)
1486537239.dat<>【朗報】自民党議員が朝鮮や台湾出身の旧日本軍の兵士たちに賠償金を支払う法案を提出へ [無断転載禁止]&#169;2ch.net	 [426667459] (20)
1486481523.dat<>【日米同盟】 トランプ、首脳会談で「尖閣は安保適用」と明言する運びに 次の大戦の契機は、尖閣となる可能性も [無断転載禁止]&#169;2ch.net	 [219241683] (38)
1486542880.dat<>中国の自動車メーカーは10年でトヨタを超えるか [無断転載禁止]&#169;2ch.net	 [895142347] (10)
1486474035.dat<>小林よしのり 『安倍は単なる朝敵であり、逆賊に過ぎない。ネトウヨもいずれ分かるだろう。』 [無断転載禁止]&#169;2ch.net	 [718678614] (83)
1486540911.dat<>まんこ「電車でいちゃついてるホモカップルがいた。シャシャッ(描画)」 [無断転載禁止]&#169;2ch.net	 [541299951] (284)
1486570146.dat<>彼女が嫌儲民だったら毎日楽しいだろうな [無断転載禁止]&#169;2ch.net	 [361487482] (19)
1486561135.dat<>チベットやウイグルの最終目標は決まってる。「支那人を追い出す」こと。それが「民族自決権」だから。 [無断転載禁止]&#169;2ch.net	 [277861996] (133)
1486547456.dat<>【おぱんぽん】アナさん「女の子には&quot;おちんちん&quot;みたいに自分の性器について話しやすい言葉がない！」 スウェーデンの成功例 [無断転載禁止]&#169;2ch.net	 [402859164] (295)
1486380940.dat<>竹中平蔵「貧乏を受け入れて格差社会でも幸せなんだと日本のリーダーが国民に話す必要がある」 [無断転載禁止]&#169;2ch.net	 [509143435] (59)
1486541332.dat<>正直中華メーカーがガチで据え置きハード作って安価でバラ撒けば、任天堂もソニーも潰されるんじゃね？なんでやらないんだろう・・・ [無断転載禁止]&#169;2ch.net	 [221917921] (39)
1486543573.dat<>時代は「実質」　所定労働時間を減らせば実質ベースアップのマジック！ [無断転載禁止]&#169;2ch.net	 [924331556] (10)
1486567659.dat<>とある魔術の禁書目録（インデックス）って今どうなってんの？ [無断転載禁止]&#169;2ch.net	 [444885982] (21)
1486556528.dat<>風景に溶け込んで設置していることを不審者に気づかれない「防犯カメラ」が発売。単三電池8本で最長6か月作動 [無断転載禁止]&#169;2ch.net	 [208924962] (105)
1486549993.dat<>【嫌儲エロゲ部】2016年発売のエロゲーランキングが発表　1位:千恋万花 2位:まいてつ 3位:千桃　去年は割りと豊作だったな [無断転載禁止]&#169;2ch.net	 [936827494] (162)
1486567582.dat<>減量しすぎて死んだマッスル北村の壮絶な人生→二浪で東大合格→ボディビルに熱中して中退→父親にキレられ頭をダンベルで殴られる [無断転載禁止]&#169;2ch.net	 [426667459] (34)
1486567794.dat<>俺（無職・うつ病歴6年）、マジでもう限界 [無断転載禁止]&#169;2ch.net	 [361487482] (69)
1486557278.dat<>共産党都議団、議員報酬の25％削減を提案 [無断転載禁止]&#169;2ch.net	 [593776499] (7)
1486531848.dat<>稲田防衛相「南スーダンで武力衝突が起きた日の日報、読んでませんが何か？」 [無断転載禁止]&#169;2ch.net	 [545512288] (84)
1486443176.dat<>金美齢「子供を戦場に送りたくない気持ちは分かる。でも日本が滅びたら子供も幸せになれなのよ」 [無断転載禁止]&#169;2ch.net	 [509143435] (364)
1486367407.dat<>今期アニメ総合 [無断転載禁止]&#169;2ch.net	 [275723402] (325)
1486572363.dat<>日本の国家予算（９５兆円）のうち公務員の人件費（４３兆円）が半分てマジ？ [無断転載禁止]&#169;2ch.net	 [368723689] (20)
1486419146.dat<>J( 'ー`)し 「まさおー！デリヘルのお姉さん来たわよー」 [無断転載禁止]&#169;2ch.net	 [402581721] (8)
1486572439.dat<>【産経】「この偽ニュース野郎が」と罵りあうほど、アメリカは「偽ニュース」まみれ　その「元祖」は誰？【ネトウヨ問題】 [無断転載禁止]&#169;2ch.net	 [718678614] (10)
1486553411.dat<>【Sofmap】Hカップの超弩級ソフマップ。これはアリだろ！ [無断転載禁止]&#169;2ch.net	 [424896289] (167)
1486544881.dat<>社員旅行はパワハラ。勝手に社内旅行費とかを給料から天引きするな。金返せ [無断転載禁止]&#169;2ch.net	 [707978541] (44)
1486549749.dat<>分かってる奴はアドレス125に乗ってる　バカはPCXに乗ってる　これは真理 [無断転載禁止]&#169;2ch.net	 [265872647] (125)
1486484809.dat<>【Brexit】イギリス政府、裁判所に従いEU離脱の最終判断を議会投票に委ねる　まさかの「やっぱやめた」もあり得る情勢に [無断転載禁止]&#169;2ch.net	 [797646222] (159)
1486554336.dat<>【動画】金田法相「今のご意見ですが、私の頭脳ではちょっと対応できません…」　共謀罪、答弁できず [無断転載禁止]&#169;2ch.net	 [545512288] (230)
1486378916.dat<>韓国人『大阪は東京より楽しい、食べ物が美味しくて安い。ディズニーは飽きた。ＵＳＪの方が楽しい。京都、奈良、神戸も楽しめる。』 [無断転載禁止]&#169;2ch.net	 [901679184] (80)
1486482378.dat<>民泊に泊まったら盗撮でおもてなしされるという日本の風習に海外から非難と軽蔑の声が高まる [無断転載禁止]&#169;2ch.net	 [389326466] (37)
1486555614.dat<>【悲報】精霊(ジン)の力で15歳の女の子が男に生まれ変わる奇跡→「わたし…ペニスがあるの」→村人「うおおおっ」 [無断転載禁止]&#169;2ch.net	 [426667459] (12)
1486570602.dat<>なぜかimgurにアップできんけど俺だけ？ [無断転載禁止]&#169;2ch.net	 [388685895] (13)
1486535594.dat<>２ちゃんねる、プロバイダ規制解除された日に規制更に多重規制の思い出 [無断転載禁止]&#169;2ch.net	 [533895477] (39)
1486559486.dat<>日本人(20年前)「でも日本には東芝日立シャープ三菱NEC富士通があるから」 ← 見るも無残な状態になって逆に笑えるよな [無断転載禁止]&#169;2ch.net	 [352914648] (52)
1486552107.dat<>ジャップって文化が近い中韓からの移民ですらワーワー文句言ってるのにイスラム教徒の移民なんて大量に来たら発狂すんじゃねえの？ [無断転載禁止]&#169;2ch.net	 [936827494] (22)
1486540973.dat<>激安「スーパー玉出」　外国人留学生らに違法な長時間労働をさせていた [無断転載禁止]&#169;2ch.net	 [148959167] (14)
1486569079.dat<>【こわぃょ～】アパート敷地でバイク3台が放火　 通報者の男性｢自分のバイクが燃えてて119番した｡通勤に使うので困る｡燃えるのは初めて｣ [無断転載禁止]&#169;2ch.net	 [597533159] (16)
1486547480.dat<>【豊洲問題】石原慎太郎元都知事「私は逃げるのが一番いやな人間だから、喜んで参考人招致に応じる」　全都民「え？」 [無断転載禁止]&#169;2ch.net	 [816491279] (56)
1486573156.dat<>もう4時か・・・ [無断転載禁止]&#169;2ch.net	 [247884871] (7)
1486551186.dat<>ゾンビ超大作映画　ワールド・ウォーZ　2　デヴィット・フィンチャー監督で始動か？　日本編はやくしろ [無断転載禁止]&#169;2ch.net	 [876811395] (161)
1486562170.dat<>バカ「温泉は癒やし」←温泉ほど体に負担がかかることはないよ [無断転載禁止]&#169;2ch.net	 [876811395] (50)
1486558299.dat<>俺「ネトゲだけしてたいわぁ～」　母「ちょーっと部屋くらい片付けて！」 [無断転載禁止]&#169;2ch.net	 [591262568] (6)
1486547842.dat<>【語学】アジアの言語は古代中国語の影響で声調がある言語が多い　なのになぜ日本語や朝鮮語、モンゴル語は独特の進化をしたのか [無断転載禁止]&#169;2ch.net	 [247662382] (25)
1486557063.dat<>男児のポルノ画像を他人送信、放課後児童クラブ職員の男を逮捕 [無断転載禁止]&#169;2ch.net	 [402859164] (14)
1486398590.dat<>【悲報】テコンダー朴、格闘漫画だった [無断転載禁止]&#169;2ch.net	 [585351372] (256)
1486528253.dat<>女の子といい雰囲気になると逃げ出したくなるのはなんでだろう。 [無断転載禁止]&#169;2ch.net	 [769327952] (69)
1486446289.dat<>トランプ「俺たちアメリカはイラクで何十万人を殺してきたんだよ！？俺は最初から反対してたけどな！」→全米が発狂 [無断転載禁止]&#169;2ch.net	 [775841453] (426)
1486546776.dat<>【悲報】ジャンプのダンス漫画打ち切りへ　本当新人が育たないな [無断転載禁止]&#169;2ch.net	 [479556552] (681)
1486542767.dat<>【謎】コイケヤって、カルビーより先にポテトチップス売ったのに何故トップの座を奪われたのか。 [無断転載禁止]&#169;2ch.net	 [275723402] (155)
1486545988.dat<>声優の内山夕実ちゃんの純粋なファン0人説。お前ら顔とかおっぱいが好きなだけﾀﾞﾛ？おっぱいでかいのが [無断転載禁止]&#169;2ch.net	 [615019964] (40)
1486517164.dat<>町山智浩「山本一郎が100億稼いだホワイトヒルズLCCって会社が世界の何処にも登記がないんだが★3 [無断転載禁止]&#169;2ch.net	 [204160824] (862)
1486553843.dat<>浅野忠信「おい、カズ、お前まだ深冬のこと好きなのか？」　←なんで今までこんな演技下手の評価が高かったの [無断転載禁止]&#169;2ch.net	 [368289528] (127)
1486567666.dat<>ポケモンGO、ラッキーが出現しやすくなるイベントを開催　2/9～15まで　極寒だけど頑張って歩き回ろう [無断転載禁止]&#169;2ch.net	 [468628276] (37)
1486564764.dat<>歩道にいた母子に信号無視で事故ったダンプが突っ込む　1歳の子供をかばった母親が頭を轢かれ死亡｢ママー！｣息子は泣いて駆け寄る [無断転載禁止]&#169;2ch.net	 [597533159] (82)
1486469866.dat<>カンボジア人女性を人身売買し、群馬県の風俗で強制労働させたフクイ・ススム容疑者を逮捕 [無断転載禁止]&#169;2ch.net	 [253246518] (26)
1486563110.dat<>報ステ富川くん、少し泣く [無断転載禁止]&#169;2ch.net	 [402581721] (70)
1486564906.dat<>エビ中松野莉奈さんの死因、明らかにされず　各所で憶測広がる [無断転載禁止]&#169;2ch.net	 [455830913] (121)
1486570524.dat<>さすが我らの安倍総理、トランプ会談　2泊3日５食付き　ゴルフにエアフォースワンのフルオプションVIP待遇 [無断転載禁止]&#169;2ch.net	 [873520422] (26)
1486570501.dat<>警察官の車発進阻止は違法と認定 [無断転載禁止]&#169;2ch.net	 [718678614] (3)
1486569883.dat<>（Ｕ＾ω＾）「わんわんお！ここめっちゃ臭うお」飼い主「うんこかな」 なんとトリュフでした [無断転載禁止]&#169;2ch.net	 [609535295] (21)
1486563569.dat<>このオシャレな腕時計、いくらに見える？　 [無断転載禁止]&#169;2ch.net	 [585351372] (44)
1486553855.dat<>東大が推薦入試の合格者を発表、女性と関東以外の割合が高め　「多様性の促進に成功している」 [無断転載禁止]&#169;2ch.net	 [665913571] (21)
1486527163.dat<>未だに物理キーを鍵穴に差してドア開閉やエンジンかけるオンボロ車に乗ってる貧乏人ってなんなの！？w窓はクルクル回しwww [無断転載禁止]&#169;2ch.net	 [875920232] (275)
1486438287.dat<>平沢進「メジャーとJASRACから離れ個人でMP3配信してから売上はぐんと伸びました。客を泥棒のように扱う意味がわかりません」 [無断転載禁止]&#169;2ch.net	 [255920271] (288)
1486559427.dat<>【巨額損失】 三菱重工、日立製作所に対し７６００億円を要求 火力発電事業の統合に伴う損失で [無断転載禁止]&#169;2ch.net	 [219241683] (54)
1486514979.dat<>「アルドノア・ゼロ」って今思うと普通に面白かったよな。なぜあんなに叩かれてたのかわからない [無断転載禁止]&#169;2ch.net	 [335447567] (334)
1486563812.dat<>孫社長、入国禁止にだんまり。やはり日本企業はトランプのケツを舐めるしかないのか… [無断転載禁止]&#169;2ch.net	 [275723402] (30)
1486571550.dat<>結局私立恵比寿中学の松野莉奈さんの死因ってなんだったの？ [無断転載禁止]&#169;2ch.net	 [303493227] (17)
1486546236.dat<>ほらお前らもう押尾学がやってたバンドの名前思い出せないじゃん [無断転載禁止]&#169;2ch.net	 [204160824] (160)
1486566077.dat<>俺「今のところ巻き戻してくれる？」　ゆとり「ぐーるぐる？」　俺「ぐーるぐる♪」 [無断転載禁止]&#169;2ch.net	 [327876567] (12)
1486568521.dat<>どんなコンテンツにも終わりは来るんだよね　例外はない [無断転載禁止]&#169;2ch.net	 [455830913] (14)
1486468923.dat<>「流れよわが涙、と警官は言った」　←これをタイトルにつけるセンスがすげーわ [無断転載禁止]&#169;2ch.net	 [214413644] (125)
1486565043.dat<>39,000件の児ポ画像をＤＬして子供と接触する仕事に就くことを無期限に禁止された小児科医、性懲りもなくおもちゃ屋を開業しバレる [無断転載禁止]&#169;2ch.net	 [311660226] (23)
1486407422.dat<>【朝日新聞】法務省、ネトウヨの言動をヘイトスピーチと断定【ネトウヨ死亡】 [無断転載禁止]&#169;2ch.net	 [718678614] (122)
1486526605.dat<>【速報】Tehuさん、慶應の人脈を集めピザパーティーを開催　可愛い子も多数参加した模様　嫌儲民完全敗北へ [無断転載禁止]&#169;2ch.net	 [242521385] (242)
1486473860.dat<>金田勝年法相「マスコミは共謀罪審議に配慮せよ」 → 文書撤回し謝罪 [無断転載禁止]&#169;2ch.net	 [771738842] (36)
1486555006.dat<>東北大学の非常勤講師、鈴木かおり（５０）が大学のPC50台を勝手に売却して横領。被害額500万 [無断転載禁止]&#169;2ch.net	 [591262568] (207)
1486547340.dat<>日本在住のイスラム教徒の子どもがハラール非対応給食に苦慮し配慮求める★３ [無断転載禁止]&#169;2ch.net	 [771738842] (212)
1486563197.dat<>【音楽】Suchmosの曲を聴いてるとナウいガールとヤリ放題ってマジ？ [無断転載禁止]&#169;2ch.net	 [565250761] (59)
1486567326.dat<>キングオブファイターズのＣＭいいよね [無断転載禁止]&#169;2ch.net	 [455830913] (12)
1486561139.dat<>【ラブライブ！】花丸「みかん一箱は流石に多過ぎるから善子ちゃんにお裾分けするずら」 [無断転載禁止]&#169;2ch.net	 [815324337] (236)
1486517553.dat<>【画像】大統領辞めたオバマがめっちゃ楽しそう [無断転載禁止]&#169;2ch.net	 [619519808] (804)
1486565484.dat<>嫌儲Minecraft部 [無断転載禁止]&#169;2ch.net	 [648551699] (4)
1486498054.dat<>小5女児とセックスしてスマホで撮影した男(31)逮捕 [無断転載禁止]&#169;2ch.net	 [455280202] (369)
1486564863.dat<>長崎・ハウステンボスに3施設・17コンテンツのVRアトラクションが誕生 日本最大級のVRテーマパークへ [無断転載禁止]&#169;2ch.net	 [368289528] (10)
1486481268.dat<>北方領土の日ということでロシア大使館の前で大声で叫んでいた右翼を逮捕　安倍に言ったほうがよくね？ [無断転載禁止]&#169;2ch.net	 [389326466] (28)
1486534503.dat<>野獣先輩、安倍晋三説を中国人が提唱 [無断転載禁止]&#169;2ch.net	 [339454773] (33)
1486560239.dat<>【SUZUKI】V-strom250が遂にきたっぽい。250ccｱﾄﾞﾍﾞﾝﾁｬｰﾂｱﾗｰで通勤もスポーツも使える。嫌儲ジジイも踊り出す納得のデザイン [無断転載禁止]&#169;2ch.net	 [615019964] (43)
1486531844.dat<>【朗報】ドコモ、月額980円で野球サッカー見放題という破格のサービスを開始 [無断転載禁止]&#169;2ch.net	 [847158643] (243)
1486572337.dat<>石川県の崖の名所「ヤセの断崖」でダイエット宣言絶叫ツアー開催 [無断転載禁止]&#169;2ch.net	 [771738842] (5)
1486564950.dat<>みんな目をつぶれ　この中にクラスのみんなの財布を取った奴がいる　今なら許すから手を上げろ　先生は絶対に言わない [無断転載禁止]&#169;2ch.net	 [389326466] (20)
1486509033.dat<>安倍首相「トランプ大統領はTPPのTの文字を言っただけで、そっぽを向く恐れがある。だから会談では協力姿勢を全面に打ち出します！」 [無断転載禁止]&#169;2ch.net	 [253246518] (180)
1486394886.dat<>ガンホー「助けて！　パズドラが失速して営業利益が２年で５割も減ったの！！」　お前らどうしてパズドラやらないの？ [無断転載禁止]&#169;2ch.net	 [455830913] (949)
1486546913.dat<>「トップレスは犯罪ではない」　アルゼンチンで女性が乳首丸出しデモ [無断転載禁止]&#169;2ch.net	 [373996372] (120)
1486543760.dat<>【悲報】安倍総理「世耕は置いていく」世耕「え？いややっ！」世耕経産省が議会での承認が間に合わずアメリカ行き中止 [無断転載禁止]&#169;2ch.net	 [426667459] (77)
1486432044.dat<>スマホをMVNO1本に絞ろうと思うんだけど不便なことあるの(´･ω･｀)？２台持ちめんどくさい。通話はしない [無断転載禁止]&#169;2ch.net	 [359394819] (318)
1486561238.dat<>ＮＨＫレイパー、山形転勤の前の山梨県でも連続レイプしていた [無断転載禁止]&#169;2ch.net	 [368289528] (17)
1486568817.dat<>いまの日本には数々の問題があるわけだが、一番の問題がいまに至るも完全に隠蔽されている。というか気づいてすらいない。 [無断転載禁止]&#169;2ch.net	 [277861996] (37)
1486530468.dat<>富士重工業　「日本の工場全ラインでアメリカ向けの車作ってアメリカで売ったら儲かりすぎでワロタ」　 [無断転載禁止]&#169;2ch.net	 [468628276] (71)
1486441578.dat<>平野耕太@hiranokohta ちょぼらうにょぽみ@choboraunyopomi 明坂 聡美@akekodao の声優＆声豚聖戦士は何故キンコン西野に敗北したのか？ [無断転載禁止]&#169;2ch.net	 [233450366] (348)
1486561102.dat<>日本のドラマってなんでCG技術使わないの？安っぽいセットに安っぽい脚本にありきたりなストーリーばかりじゃん [無断転載禁止]&#169;2ch.net	 [949047195] (47)
1486384849.dat<>【恨】かつていじめられていた人の約6割が「大人になった今も日常生活に何らかの影響がある」と判明 [無断転載禁止]&#169;2ch.net	 [311660226] (642)
1486556418.dat<>タイのソープでまたガサ入れ、情婦の中には未成年も [無断転載禁止]&#169;2ch.net	 [939236743] (15)
1486568722.dat<>イスラム国、赤十字の車を襲撃 [無断転載禁止]&#169;2ch.net	 [609535295] (6)
1486570641.dat<>【企業】JDI「3年ぶりの黒字見通しです」　ネトウヨ「ウォオオオオ！」　JDI「中国様のおかげです」　ネトウヨ「」 [無断転載禁止]&#169;2ch.net	 [816491279] (8)
1486562043.dat<>麻生副総理「国鉄からJRへの分割は商売わからない人が考えたもの」 [無断転載禁止]&#169;2ch.net	 [186586446] (134)
1486555722.dat<>【１８歳アイドル急死】「エビ中」松野莉奈さん　安田大サーカス「ミリゴおもしろｗｗご冥福ミリゴおもしろｗｗ」 [無断転載禁止]&#169;2ch.net	 [177619476] (83)
1486569988.dat<>生後3ヶ月の赤ちゃんに覚醒剤を飲ませて殺した男に懲役16年の判決 [無断転載禁止]&#169;2ch.net	 [367148405] (13)
1486472163.dat<>『新宿バルト9』が10周年。9日は鑑賞料金1100円＆「君の名は。」大合唱上映会を開催。声だし・歌唱・コスプレ、応援グッズ持ち込み可 [無断転載禁止]&#169;2ch.net	 [157470334] (4)
1486475526.dat<>嫌ポケモンGO部 ★86 [無断転載禁止]&#169;2ch.net	 [892297506] (56)
1486523025.dat<>【訃報】私立恵比寿中学の松野莉奈さん（18）死亡 [無断転載禁止]&#169;2ch.net	 [592145473] (114)
1486524055.dat<>【悲報】京大と阪大、米軍の資金提供で研究を行っていた これ、半分どころか事実上の軍事研究だろ… [無断転載禁止]&#169;2ch.net	 [786648259] (121)
1486446038.dat<>稲田防衛相「南スーダン派遣部隊の日報は破棄したと言ったな。よく探したら見つかった。隠蔽じゃない」 [無断転載禁止]&#169;2ch.net	 [545512288] (117)
1486566424.dat<>【悲報】声優の小清水亜美さん、キミキスpurerogueの主人公光一について「何も言葉がありません。」めちゃ怒ってるやん… [無断転載禁止]&#169;2ch.net	 [615019964] (35)
1486563409.dat<>最新マケ版2chmateのやつ長押しでimugurエラーでない？ [無断転載禁止]&#169;2ch.net	 [252536665] (15)
1486476879.dat<>20年前の声優ランキング、結構生き残っててすごい [無断転載禁止]&#169;2ch.net	 [907470392] (2)
1486472334.dat<>【悲報】安倍ぴょんまたキレる「私はGPIFの年金運用に指示なんか出来ない！私が丸で恣意的に年金を運用してるというのはデマですよ！」 [無断転載禁止]&#169;2ch.net	 [204160824] (27)
1486553740.dat<>息子をかばいかあちゃんが死亡 [無断転載禁止]&#169;2ch.net	 [373996372] (226)
1486546688.dat<>まさか30代でチェーンの居酒屋いってるやついないよな？ある程度の店に行っとけよ…？ [無断転載禁止]&#169;2ch.net	 [813468598] (131)
1486561863.dat<>アメリカのレストラン「移民を尊敬します」　JAPの寿司屋「お、外人やんけ。ヘイトワサビ入れたろｗヒヒヒ」 [無断転載禁止]&#169;2ch.net	 [522275885] (24)
1486564587.dat<>ドル円111.11でロングする！ [無断転載禁止]&#169;2ch.net	 [194768828] (27)
1486555818.dat<>【悲報】 Twitter元CEO「時計の針を2010年に戻したい…我々は迷惑アカウントに甘すぎた」 [無断転載禁止]&#169;2ch.net	 [989661427] (55)
1486544417.dat<>【訃報】アーティストデビューした東山奈央のCD売り上げが7255枚と微妙な数字 [無断転載禁止]&#169;2ch.net	 [591262568] (52)
1486551560.dat<>【ファイファン】 FFが30周年を記念してPSや3DS、PCのダウンロード版を半額セール中　月曜まで [無断転載禁止]&#169;2ch.net	 [268718286] (88)
1486564364.dat<>最近ヤフコメまともになってない？ [無断転載禁止]&#169;2ch.net	 [989661427] (12)
1486520951.dat<>無修正のAV見てると男優の おちんぽ ばっかり見ちゃうよね(´･ω･｀) [無断転載禁止]&#169;2ch.net	 [359394819] (101)
1486570748.dat<>【警察】昇降装置なしのパトカーは速度取り締まりに注意【ラジオライフ】 [無断転載禁止]&#169;2ch.net	 [718678614] (2)
1486535413.dat<>JR北海道「支援してくれなきゃ死んじゃうよオラオラ」 [無断転載禁止]&#169;2ch.net	 [204160824] (27)
1486466400.dat<>【画像】東京人気No１の「ラーメン二郎」が京都店オープンへ！ 関西初上陸！関西に勝ったるでぇー！ [無断転載禁止]&#169;2ch.net	 [901679184] (71)
1486563528.dat<>フィリピンのスラム街で大規模火災、1万5000人がホームレス化　3200戸が焼ける [無断転載禁止]&#169;2ch.net	 [798527598] (36)
1486569429.dat<>日本の若者の間で流行りの曲「一休さん～ありがサンキュ～一休さん～お疲れさん」 [無断転載禁止]&#169;2ch.net	 [777715876] (13)
1486563596.dat<>自分の葬式の時に流してほしい曲 [無断転載禁止]&#169;2ch.net	 [188715789] (87)
1486541711.dat<>【悲報】有田「ネトウヨはゴキブリと呼んでもいい」→自分をネトウヨと認識してる人達がブチギレ「お前がゴキブリだろ！」 [無断転載禁止]&#169;2ch.net	 [426667459] (46)
1486386584.dat<>PS4　コーエーのシブサワ・コウ最新作　仁王（ダクソ+ハクスラ+スキル制）　IGNで9.6という和ゲー最高評価　神ゲー確定 [無断転載禁止]&#169;2ch.net	 [876811395] (214)
1486563152.dat<>福岡民「本場の豚骨は～」大阪民「本場のたこ焼きは～」　北海道民「本場のジンギスカンは～」←道民このドヤリング全然やらないよね [無断転載禁止]&#169;2ch.net	 [204160824] (78)
1486553907.dat<>福岡ホテル不足問題でJR九州が受験生に社員寮を無償提供の英断！ [無断転載禁止]&#169;2ch.net	 [126042664] (23)
1486412440.dat<>経済学者「雇用の流動性というものがあって非正規が増えれば増えるほどいい」今若者が結婚しなく絶望の少子高齢化に [無断転載禁止]&#169;2ch.net	 [805596214] (390)
1486467081.dat<>【ガチでかっこいい】５年分の食料、映画館にゴルフ場付き…世界終末で快適に生き残れる核シェルターがトランプ危機で完売 [無断転載禁止]&#169;2ch.net	 [523092628] (197)
1486546970.dat<>カレーの「ＣｏＣｏ壱番屋」、英国出店へ　５年で１０店　ロンドンで食べるいつもの味 [無断転載禁止]&#169;2ch.net	 [294123429] (34)
1486557364.dat<>コンス天皇…父親の竹田会長が特捜部から聴取された件をスルー「むむむ。やっぱりか。いつも肉はA5よりA4の方が美味しいと思っていた」 [無断転載禁止]&#169;2ch.net	 [426667459] (12)
1486511212.dat<>ヤンキーの車から爆音で聞こえてきたら意外な曲 [無断転載禁止]&#169;2ch.net	 [769327952] (471)
1486337276.dat<>この世界の片隅にとかいう作品は面白いの？とりあえず君縄は見たが [無断転載禁止]&#169;2ch.net	 [269247331] (325)
1486555731.dat<>パチンコ業界に激震、ユニバーサルの賄賂疑惑を掲載した朝日新聞に賠償命令 [無断転載禁止]&#169;2ch.net	 [422186189] (17)
1486542950.dat<>【ポケモン】吉田沙保里のカイリキーが配布決定。捨て身タックルなど使用 [無断転載禁止]&#169;2ch.net	 [373996372] (84)
1486523939.dat<>車が信号待ちのトレーラーに追突しさらに別の車にも衝突 助手席の22歳の女性が死亡 [無断転載禁止]&#169;2ch.net	 [609535295] (50)
1486554918.dat<>今の子供「昔のドラえもんって今と違って声が気持ち悪いから嫌い」 ← 最近のガキって本気でこう思ってるって聞いて驚いた、マジなの？ [無断転載禁止]&#169;2ch.net	 [936827494] (72)
1486459621.dat<>【画像】警視庁に眠る謎の金属球体「X」　警視庁「正体分かる人は教えて」 [無断転載禁止]&#169;2ch.net	 [373996372] (251)
1486556610.dat<>【嫌儲プログラミング部】嫌儲版『はてな匿名ダイアリー』を作ろうと思ってるのだが、お前ら使ってくれる？ [無断転載禁止]&#169;2ch.net	 [936827494] (9)
1486527259.dat<>円安で国内に工場が戻ってくるって話…あれ結局ウソだったの？ [無断転載禁止]&#169;2ch.net	 [533895477] (186)
1486466912.dat<>Windows７から１０に変える合理的理由が無い。 [無断転載禁止]&#169;2ch.net	 [591262568] (243)
1486553465.dat<>【画像】 高校生が女子小学生を家に連れ込んでイチャイチャするだけの漫画が発売　癒されると話題に [無断転載禁止]&#169;2ch.net	 [372775825] (30)
1486558551.dat<>「革命軍」のアジト「赤砦社」が家宅捜索される [無断転載禁止]&#169;2ch.net	 [252358651] (16)
1486530368.dat<>【プレミアムフライデー】今月２４日から毎週金曜は３時で仕事終わるらしいけどお前ら何して遊ぶの？ [無断転載禁止]&#169;2ch.net	 [388685895] (62)
1486469902.dat<>”ベーシックインカムっぽい”政策の提案 記事読者の78％以上が支持 [無断転載禁止]&#169;2ch.net	 [279479878] (50)
1486546973.dat<>【週刊文春】巨人軍元中継ぎエース・越智大祐氏が“結婚サギ”で訴訟沙汰 [無断転載禁止]&#169;2ch.net	 [478140236] (65)
1486554173.dat<>新庄剛志　敬遠球をサヨナラヒット！　来季から敬遠は「申告制」に？ [無断転載禁止]&#169;2ch.net	 [538835723] (15)
1486515646.dat<>【訃報】AV女優葵つかさTwitter消滅、嵐・松本潤ファンの「死ね」など袋叩きに音を上げ。ジャニオタ「ざまあ」「自業自得」と、勝ち誇る [無断転載禁止]&#169;2ch.net	 [899382504] (658)
1486375953.dat<>維新の党「長谷川豊を社会から退場させるのは我々の理念と違う、失敗しても再チャレンジできる社会を」失敗というか危険思想だろ [無断転載禁止]&#169;2ch.net	 [775841453] (762)
1486568419.dat<>ノンケ「ノンケだけどフェラしてみてえな…」←朗報！足の親指はちんぽみたいだからしゃぶってみろ [無断転載禁止]&#169;2ch.net	 [169521961] (10)
1486539883.dat<>３４女上司「えー！ケンモウ君ってまだ童貞なんだｗ・・・この後私の家で飲みなおさない？」　（ ヽ´ん`）「・・・」 [無断転載禁止]&#169;2ch.net	 [956343291] (66)
1486556094.dat<>沖縄いじめ暴行動画を教委「重大ないじめ事件の認識足りず」と釈明するも生徒は一時不登校に [無断転載禁止]&#169;2ch.net	 [771738842] (8)
1486479131.dat<>日本中の水道管がピンチ！　各地で老朽化した水道管が破裂 [無断転載禁止]&#169;2ch.net	 [631480293] (59)
1486555406.dat<>一輪車世界チャンピオンの佐藤彩香さん、めちゃ可愛い模様 [無断転載禁止]&#169;2ch.net	 [255920271] (38)
1486536559.dat<>京都市の個人が青森市にポンと５億円寄付 [無断転載禁止]&#169;2ch.net	 [771738842] (75)
1486459772.dat<>ヤクルトを4週間飲むと悪玉菌が1/5になり善玉菌が3倍に増える。便秘や下痢持ちの80%が改善。腸内発がん性物質を70%除去 [無断転載禁止]&#169;2ch.net	 [512542702] (694)
1486540512.dat<>【キタムラ】減量し過ぎて死去……ストイック過ぎたボディビルダー・マッスル北村の壮絶な生き様 [無断転載禁止]&#169;2ch.net	 [294123429] (151)
