1487052163.dat<>弁護士チンポ切断事件、懲役4年6カ月の実刑判決で被告人の控訴棄却 [無断転載禁止]&#169;2ch.net	 [892356801] (40)
1487048837.dat<>さかなフレンズっていう魚たちの日常アニメを作って流れに乗りたい [無断転載禁止]&#169;2ch.net	 [987524678] (22)
1487042158.dat<>【それ町】「それでも町は廻っている」最終16巻が発売。伏線も全て回収した神漫画だったな [無断転載禁止]&#169;2ch.net	 [952522887] (80)
1487035524.dat<>ゼルダの伝説ブレスオブファイアって久々の超大作じゃね？トレーラーだけでワクワクが止まらないゲームは久々 働くときが来た [無断転載禁止]&#169;2ch.net	 [256167716] (63)
1487030023.dat<>宮根誠司「月収５万でも働けや。迷惑かけんなや」 [無断転載禁止]&#169;2ch.net	 [828293379] (94)
1487030180.dat<>「鳥貴族」は何故「ワタミ」を追い抜くことができたのか [無断転載禁止]&#169;2ch.net	 [517459952] (205)
1487029661.dat<>「ガラパゴス」をネガティブの意味で使うのはいいかげんやめるべき　ゾウガメさんやウミイグアナさんに失礼 [無断転載禁止]&#169;2ch.net	 [452836546] (43)
1486991797.dat<>バッキー「男性経験三人がその日三桁に」　←これに出演したAV嬢は手取り20万円のギャラらしい [無断転載禁止]&#169;2ch.net	 [604460326] (295)
1486997439.dat<>オナニーマスター黒沢 [無断転載禁止]&#169;2ch.net	 [916317987] (21)
1486992120.dat<>【訃報】円谷英二、死去。 [無断転載禁止]&#169;2ch.net	 [275723402] (96)
1487034566.dat<>『仁王』が全国的に品切れ状態に―追加出荷行うも供給追い付かず [無断転載禁止]&#169;2ch.net	 [956343291] (286)
1487050846.dat<>おすすめの超音波歯ブラシ教えろ [無断転載禁止]&#169;2ch.net	 [789313175] (5)
1486984845.dat<>【朗報】ココアには人をやみつきにさせる物質があることが判明。滋養強壮、疲労回復にも [無断転載禁止]&#169;2ch.net	 [123894178] (143)
1486964469.dat<>けものフレンズ監督「けものフレンズは異物がいきなり登場したり、誰かの死を描くような作品ではありません。」 [無断転載禁止]&#169;2ch.net	 [793337701] (180)
1486985103.dat<>次々と凋落する日本企業　今度は「ニコン」が大ピンチ　 [無断転載禁止]&#169;2ch.net	 [468628276] (647)
1487036851.dat<>ツイ民「戦艦大和の造船員だった祖父が資材のプラチナちょろまかして祖母に結婚指輪作って求婚した」 [無断転載禁止]&#169;2ch.net	 [585351372] (138)
1486982970.dat<>福島第一原発２号機圧力容器外に「溶融燃料」が見つかり廃炉作業困難確定… [無断転載禁止]&#169;2ch.net	 [771738842] (951)
1486804918.dat<>消費税増税から３年 すっかりみんな慣れちゃったね… [無断転載禁止]&#169;2ch.net	 [533895477] (180)
1487031977.dat<>清水富美加 違約金10億超ｗｗｗｗｗｗｗｗざまぁｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [618588461] (260)
1487017147.dat<>【悲報】地獄の名古屋東京二強時代　おもな産業もない日本の田舎はどうやって生き残ればいいのか [無断転載禁止]&#169;2ch.net	 [266670284] (46)
1486995551.dat<>週刊少年ジャンプ　ガチで終わる　新連載が15話ぐらいしか持たずに打ち切りされまくり　今回の新連載も見るからに打ち切り [無断転載禁止]&#169;2ch.net	 [876811395] (936)
1486961511.dat<>【2万RT】ツイッタラー「とある男性保育士の末路をマンガにしました」 [無断転載禁止]&#169;2ch.net	 [741292766] (639)
1487025502.dat<>【東芝】 ５０００億を超す損失を出すきっかけになった会社を売り払うとの事 ２０１５年末に買収→大損→売却 [無断転載禁止]&#169;2ch.net	 [219241683] (168)
1487035114.dat<>宮根誠司が清水富美加の待遇不満に疑問「まだお金の価値もわからない子に、ガバッとあげても大変なことになる」井上公造も同意 [無断転載禁止]&#169;2ch.net	 [388685895] (370)
1487027221.dat<>国連「なぜ日本政府は障がい者に強制的に断種を行った過去をを謝罪し、救済や賠償を行わないのですか？障がい者差別をしているから？」 [無断転載禁止]&#169;2ch.net	 [786648259] (91)
1487002763.dat<>｢生活保護なめんな｣は正しかった！5年間で700万円もナマポを不正受給したカスを詐欺罪で起訴 大阪 [無断転載禁止]&#169;2ch.net	 [597533159] (23)
1486939102.dat<>原発事故から５年したらガンや白血病が急増するとか言ってた奴らは今ごろどんな顔してるんだろうな [無断転載禁止]&#169;2ch.net	 [479556552] (157)
1487001999.dat<>【画像】女子高生チア集団　寒空の下環八ぞいでバイク乗りに交通安全チョコを渡す [無断転載禁止]&#169;2ch.net	 [399583221] (54)
1487021543.dat<>【窃盗】 メガネ５６万円分を万引きして２０代無職男逮捕 めがねお～の犯人とも身体的特徴（ハゲ？）が一致 [無断転載禁止]&#169;2ch.net	 [219241683] (59)
1487044128.dat<>「優勝馬を当てろ！」　小学生の息子を祈祷部屋に監禁し、競馬予想をさせ、外れれば暴行していた男を逮捕 [無断転載禁止]&#169;2ch.net	 [253246518] (47)
1486871954.dat<>【アニメ】エヴァ旧劇場版 NHKで放送決定　 [無断転載禁止]&#169;2ch.net	 [858129686] (291)
1487020854.dat<>AIって、最終的に「愚かなる人類は滅ぶべし」or「我々が人類を支配して管理する」の二択になるよな？ [無断転載禁止]&#169;2ch.net	 [275723402] (242)
1486947957.dat<>安倍ちゃん、トランプさんとの会見で手がグーになるｗ [無断転載禁止]&#169;2ch.net	 [805596214] (139)
1486949989.dat<>【悲報】韓国「昨年、日本では韓国車が371台しか売れなかった。どういうことよ？」 [無断転載禁止]&#169;2ch.net	 [535050937] (598)
1486971053.dat<>ジャップは～　←　てめーも日本人だろ！ [無断転載禁止]&#169;2ch.net	 [284894144] (364)
1487032270.dat<>「贅沢な外食を楽しみ、物を消費しない新しいライフスタイルが庶民の間で大流行！　エンゲル係数増加の意外な原因に」　NHKが報道特集 [無断転載禁止]&#169;2ch.net	 [902666507] (99)
1487046942.dat<>ハロウィンの時もそうだけどケンモメンには一切関係ないのにバレンタインの話題が大好きだよね(笑)いくつスレが立ってるんだよ [無断転載禁止]&#169;2ch.net	 [875920232] (5)
1486996430.dat<>ODしたら死ねる市販薬 [無断転載禁止]&#169;2ch.net	 [361487482] (178)
1486978911.dat<>【ひま動】チルノ「けものフレンズ？糞アニメだな新人担当で」→チルノ「担当外れろ、俺がやる」新人「嫌です」チルノ「」 [無断転載禁止]&#169;2ch.net	 [177619476] (556)
1487037564.dat<>定食屋のおばちゃん「いつもありがと！また来てね！」ぼく「…」 [無断転載禁止]&#169;2ch.net	 [823873713] (45)
1486942456.dat<>東京圏に地方で死んだ親からの遺産50兆円が流入中　これで経済成長率マイナスなんだぜ [無断転載禁止]&#169;2ch.net	 [649717704] (53)
1486980260.dat<>福島の子どもが150万円を同級生に渡していた問題、横浜市が一転して「いじめ」認定へ [無断転載禁止]&#169;2ch.net	 [427372145] (95)
1486800998.dat<>中国、福島原発を巡り、日本に責任ある対応を要請 [無断転載禁止]&#169;2ch.net	 [895142347] (127)
1487004483.dat<>【戦争か？】大学教授「アニメアイコンのキチガイ率は異常。ブロックして終了だけどね(笑)」 [無断転載禁止]&#169;2ch.net	 [838559742] (194)
1486966517.dat<>習近平「米が一つの中国受け入れぬなら電話会談せず」→トランプが折れて電話会談実現  ←中国強すぎワロタ [無断転載禁止]&#169;2ch.net	 [479913954] (140)
1486992799.dat<>『仮面ライダーゴースト』出演→水着　『仮面ライダーW』出演→ヌード写真集　『仮面ライダーフォーゼ』出演→引退・出家 [無断転載禁止]&#169;2ch.net	 [368289528] (71)
1487042760.dat<>エッチの最中にありがちな「12の気まずい瞬間」 [無断転載禁止]&#169;2ch.net	 [148959167] (187)
1487003936.dat<>ごますりがダサいとか、かっこ悪いとかいうけど、これでアメリカに対し日本は確実に他国より優位に外交できるだろ？違うか？ [無断転載禁止]&#169;2ch.net	 [953660386] (64)
1487009155.dat<>ドイツ「経済援助でアフリカを第2の欧州にする」 [無断転載禁止]&#169;2ch.net	 [895142347] (61)
1487044998.dat<>グルメ漫画の登場人物はなぜ全員頭がおかしいのか [無断転載禁止]&#169;2ch.net	 [952522887] (43)
1487044979.dat<>東芝がチャレンジタイム突入したし、4号機のアステカの話しようぜ　 [無断転載禁止]&#169;2ch.net	 [422186189] (24)
1487027428.dat<>おまえらってなんでこういうちょいブスな女の子が好きなの？？ [無断転載禁止]&#169;2ch.net	 [838559742] (133)
1487032480.dat<>【速報】羽鳥アナ、LINEやってない [無断転載禁止]&#169;2ch.net	 [716259949] (232)
1487002653.dat<>mp3/128kbps←情弱　aac/192kbps←意識高いだけ　aac/320kbps←無駄　mp3/320kbps←情強 [無断転載禁止]&#169;2ch.net	 [649717704] (408)
1486899239.dat<>識者「日本に多文化共生は無理。移民は諦めて衰退しよう」　ネット民が激怒「移民無しで豊かになれるわ！」　具体的には？ｗ [無断転載禁止]&#169;2ch.net	 [347334234] (132)
1486963195.dat<>【画像】いま軽キャンピングカーが熱い。一人旅好きは絶対買え、人生変わる [無断転載禁止]&#169;2ch.net	 [604460326] (394)
1487024825.dat<>【悲報】JASRAC四天王伊藤により女子高生、完全論破される [無断転載禁止]&#169;2ch.net	 [155869954] (148)
1486958919.dat<>日本軍の戦車は姿を見ただけで敵の兵隊が一目散に逃げていくほど無敵だったんだぞ [無断転載禁止]&#169;2ch.net	 [479556552] (466)
1487040393.dat<>【超速報】今日は実はバレンタインデーｗｗｗｗｗｗなのにチョコもらえない俺ｗｗｗｗ人生オワタ＼(^o^)／ [無断転載禁止]&#169;2ch.net	 [427372145] (25)
1486900150.dat<>東京ＭＸニュース女子は「事実間違い明らか」とＭＸ側から報告受けＢＰＯが審議入り決定 [無断転載禁止]&#169;2ch.net	 [771738842] (137)
1486887615.dat<>『ガンダム 鉄血のオルフェンズ』日5枠終了につき本気を出して濃厚なセックス描写を放送。戦慄の幼児レイプ [無断転載禁止]&#169;2ch.net	 [711847287] (890)
1486902430.dat<>【原発】3年前東京転勤になって関東に住んでるが、福島が怖すぎて関西に帰りたくなってきた…似たようなやついるか？ [無断転載禁止]&#169;2ch.net	 [255920271] (161)
1486922672.dat<>【速報】「けものフレンズ」１話の再生数が１００万を突破！これもう社会現象だろ・・・ ★3 [無断転載禁止]&#169;2ch.net	 [629431971] (782)
1486903245.dat<>新海誠監督「日本のアニメそのものが韓国の作画スタジオとは切り離せない。韓国のスタジオがなければ一本のアニメを作ることが困難」 [無断転載禁止]&#169;2ch.net	 [899382504] (46)
1487050557.dat<>青汁の魅力 [無断転載禁止]&#169;2ch.net	 [769327952] (4)
1487039010.dat<>【画像】平日の昼間からアニメイトに３００人の行列。女子高生もいるぞ [無断転載禁止]&#169;2ch.net	 [899382504] (36)
1487037650.dat<>ヒトラーそっくりさん逮捕　オーストリアの生家近く [無断転載禁止]&#169;2ch.net	 [476729448] (62)
1487050320.dat<>【悲報】創価エリートの長井秀和さんの最近のネタが凄い　創価学会を全力で痛烈ディスる [無断転載禁止]&#169;2ch.net	 [785146532] (6)
1487000638.dat<>NEW GAME公式「君たちがチョコを貰いたいのはこの娘だろう？」 [無断転載禁止]&#169;2ch.net	 [399583221] (34)
1487037140.dat<>【悲報】東京大学教授『「安倍はアホじゃ」といった調子でこき下ろす意見を発見、分かっているのだろうか。』　嫌儲民完全否定される [無断転載禁止]&#169;2ch.net	 [434596658] (19)
1487043918.dat<>ストロベリー風味のココア　明治 [無断転載禁止]&#169;2ch.net	 [769327952] (7)
1486993992.dat<>ガブリール６話、マジでつまらん。サターニャに頼りすぎ [無断転載禁止]&#169;2ch.net	 [591262568] (81)
1487043136.dat<>速報【】北朝鮮の新型弾道ミサイル　マッハ8.5 射程は2000km [無断転載禁止]&#169;2ch.net	 [511393199] (13)
1486988586.dat<>【悲報】楽天・三木谷、日本を捨て本社機能のアメリカ移転を検討 [無断転載禁止]&#169;2ch.net	 [388685895] (156)
1486901797.dat<>【悲報】ケンモジサン、NHKスペシャルの相対的貧困特集を見て「こんなの貧困じゃねえ」と激怒 [無断転載禁止]&#169;2ch.net	 [468628276] (59)
1486887922.dat<>文科省より警察庁のパチンコ天下りヤバすぎだろｗｗｗ [無断転載禁止]&#169;2ch.net	 [422186189] (35)
1487047581.dat<>デリヘルで本番をさせた及川公一(39)ら5人を逮捕 [無断転載禁止]&#169;2ch.net	 [609535295] (19)
1487046486.dat<>福岡県警40代男性巡査部長が既婚なのを隠して不倫していた独身女性と披露宴を開くも式直前にバレて女性側が阿鼻叫喚の地獄絵図に [無断転載禁止]&#169;2ch.net	 [875920232] (26)
1486888270.dat<>今期アニメ総合 [無断転載禁止]&#169;2ch.net	 [275723402] (267)
1486996944.dat<>素人童貞って恥ずかしくないの？バレンタインチョコを自分で買っちゃったようなもんだよ？ [無断転載禁止]&#169;2ch.net	 [767516462] (21)
1486979388.dat<>「日本会議の研究」の著者、あの小学校の振込用紙を入手する [無断転載禁止]&#169;2ch.net	 [583484177] (188)
1486979631.dat<>マツコ、突然キレる。「人間って愚かな生き物。ブスやバカのくせに結婚しただけで安心して偉そうに男の事語るんじゃないわよ」 [無断転載禁止]&#169;2ch.net	 [275723402] (294)
1486992755.dat<>声優って演じてて「うわ、このアニメつまんねえ」って思ったりしないの [無断転載禁止]&#169;2ch.net	 [327876567] (91)
1487000722.dat<>AIの進化による社会変革の歴史を完璧に予想するロードマップが登場。人類は労働から解放される前に一度超貧困を乗り越えないとダメらしい [無断転載禁止]&#169;2ch.net	 [453776637] (157)
1487027549.dat<>福島原発、放射線量の低下で普段着での視察が可能に [無断転載禁止]&#169;2ch.net	 [533895477] (19)
1486989946.dat<>Youtubeで北朝鮮旅行記ってやつ観たら意外と普通の国でみんな平和に暮らしててワロタｗｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [539558835] (16)
1486967401.dat<>( ^-^)「この空白期間はなにをされていたのですか？」 ( ヽ´ん`)「」 [無断転載禁止]&#169;2ch.net	 [533895477] (158)
1486953072.dat<>【悲報】パリで黒人らが暴動　韓国人観光客のバス襲撃 [無断転載禁止]&#169;2ch.net	 [388685895] (309)
1487006420.dat<>眠くない状態で布団に入って30分以内に寝られる裏技教えろ [無断転載禁止]&#169;2ch.net	 [987524678] (181)
1486890273.dat<>漫画「アカギ」完結ッ！27年の歴史に幕を下ろす… [無断転載禁止]&#169;2ch.net	 [275723402] (485)
1487045198.dat<>テレ朝キャスターが働いていた銀座の高級サロンにテレ朝弘中アナも昔働いていた疑惑 [無断転載禁止]&#169;2ch.net	 [406630752] (15)
1486806931.dat<>留学生「日本人にカタコトの日本語を使うと笑われたり嫌な顔をされて辛い、他の国ではこんな事無かったのに…」 [無断転載禁止]&#169;2ch.net	 [821450594] (229)
1487045434.dat<>1500m全力疾走して牛丼を食べるYouTuberに惚れた女(28)　ストーカー容疑で逮捕 [無断転載禁止]&#169;2ch.net	 [545512288] (68)
1487041875.dat<>17歳少女とセックスをした19歳の防衛省職員を逮捕 [無断転載禁止]&#169;2ch.net	 [609535295] (70)
1486801900.dat<>１０年前ネトウヨ 「フリーチベット！中国政府は人権侵害をやめろ！」　←おい、これって [無断転載禁止]&#169;2ch.net	 [989661427] (559)
1486905887.dat<>雑談1197 [無断転載禁止]&#169;2ch.net	 [892297506] (65)
1486960001.dat<>「俺って軽度の池沼入ってんだな」って悟った瞬間 [無断転載禁止]&#169;2ch.net	 [453082177] (581)
1486982333.dat<>【ホルホル速報】ハリウッド俳優のマイケル･ファスベンダーが日本を大絶賛！｢日本食、カラオケ、着物、新幹線、そして日本人が最高だ！｣ [無断転載禁止]&#169;2ch.net	 [875920232] (45)
1486973416.dat<>杉本彩(48)とＳＥＸして15分以内に射精できたら300万円貰えるとしたらやる？ [無断転載禁止]&#169;2ch.net	 [241859604] (105)
1487039755.dat<>エビ中松野さんを急死させた「ブルガダ症候群」　AEDさえあれば70%の確率で生存可能だったことが判明でも人前で胸を晒すと訴えられるぞ [無断転載禁止]&#169;2ch.net	 [222623506] (72)
1487034918.dat<>人生の1/3を仕事に費やするのってよくよく考えてみたら馬鹿じゃないのか？ [無断転載禁止]&#169;2ch.net	 [777715876] (175)
1486989952.dat<>嫌儲「安倍やめろ！」（ヽ´ん`）「じゃ誰がいいの？」嫌儲「え？」（ヽ´ん`）「誰がいいの？」嫌儲「…じゃ、ジャァァァップww」 [無断転載禁止]&#169;2ch.net	 [214413644] (775)
1487049362.dat<>インドと中国　どっちが空気悪いのか [無断転載禁止]&#169;2ch.net	 [479556552] (4)
1486914165.dat<>福島第一原発元作業員が「内部被ばくゼロ」なのに三つのがん併発し労災不支給の取り消し求め提訴 [無断転載禁止]&#169;2ch.net	 [771738842] (92)
1487006489.dat<>【アニメ】弱虫ペダル「鳴子VS御堂筋」御堂筋がモヒカンヘアになっててワロタ [無断転載禁止]&#169;2ch.net	 [565250761] (36)
1486881711.dat<>【悲報】 NHK「貧困特番みてね」　→　コメ欄でフルボッコにされる [無断転載禁止]&#169;2ch.net	 [989661427] (913)
1486892332.dat<>【清水】 蛭子さん「宗教は自分の頭で考えられない人が頼るもの」「新興宗教ですか、ウフフ…。騙されてたっていつか気付くんですよ」 [無断転載禁止]&#169;2ch.net	 [317740771] (231)
1486989962.dat<>女の求める理想のペニスサイズが「17～18cm」であることが判明…年収といいコイツラいい加減現実見ろよ… [無断転載禁止]&#169;2ch.net	 [303184969] (158)
1486985557.dat<>【ニコンの1割】希望退職って実際は希望してない退職だろ？お前ちょっと色つけてやっから退職しろってぼかして言われるんだろ？断ったら [無断転載禁止]&#169;2ch.net	 [424896289] (50)
1486960187.dat<>坂上忍「月給５万円なら正当なギャラですよ？僕らの時もそうだったんだからね」 [無断転載禁止]&#169;2ch.net	 [716042168] (401)
1487047010.dat<>犬のまんこって気持ちいいのかな？ [無断転載禁止]&#169;2ch.net	 [947624545] (8)
1487024161.dat<>財務省「安倍政権は例の国有地取引に一切関与していない」　それはよかった！この話はやめよう ハイ!! やめやめ [無断転載禁止]&#169;2ch.net	 [545512288] (102)
1487044265.dat<>何というお前ら“栄養失調”で早死にしてしまう食事TOP10 [無断転載禁止]&#169;2ch.net	 [148959167] (24)
1486976097.dat<>【ネトウヨ注目！】幸福の科学信者・清水富美加が芸能界を辞めるきっかけになったであろう本当の仕事を発見！ [無断転載禁止]&#169;2ch.net	 [718678614] (28)
1486992916.dat<>まんさま｢キャーたいへん！上司がパソコンの共有フォルダにエロ画像を保存してる！｣わいせつ物陳列容疑で警察に刑事告発 [無断転載禁止]&#169;2ch.net	 [597533159] (158)
1487022829.dat<>伊達政宗　統率96　武勇88　知略91　政治89 [無断転載禁止]&#169;2ch.net	 [838559742] (149)
1487048993.dat<>イラク軍空爆でIS司令官13人死亡、バグダディ容疑者の安否は不明 [無断転載禁止]&#169;2ch.net	 [634616482] (2)
1487046864.dat<>エキスポランドが潰れた理由 [無断転載禁止]&#169;2ch.net	 [479556552] (33)
1486896541.dat<>沖縄人「東京は沖縄の人を下に見ている」＜これマジ [無断転載禁止]&#169;2ch.net	 [479556552] (237)
1486957048.dat<>「マウンティング」をLinux用語として認識出来ない可哀想な人達 [無断転載禁止]&#169;2ch.net	 [454657494] (298)
1487002982.dat<>【東芝】 ５０００億円程度の赤字にする事にしたとの事 [無断転載禁止]&#169;2ch.net	 [219241683] (33)
1487007021.dat<>「沖縄料理ブーム」ってなんで続かなかったんだろうな？　サータアンダギーあかんの？ [無断転載禁止]&#169;2ch.net	 [793337701] (112)
1486909139.dat<>沖縄人 「今日まで本土のために多大な犠牲を強いられて来たのに浴びせられるのは罵声や差別ばかり、もう独立してやる」　←反論できる？ [無断転載禁止]&#169;2ch.net	 [989661427] (115)
1487019820.dat<>あなたは札幌テレビ塔にいます。ゾンビが大量発生したようです。どこに逃げますか？ [無断転載禁止]&#169;2ch.net	 [422186189] (59)
1487044282.dat<>愛知県一宮市の中3自殺、保護者がうるさいからイジメという言葉を使っただけで本当はイジメなんて無かった [無断転載禁止]&#169;2ch.net	 [741292766] (9)
1487003683.dat<>【動画】祭りの列にトラックが突っ込む→必死に逃げるも轢き殺される [無断転載禁止]&#169;2ch.net	 [479913954] (71)
1486939558.dat<>ネトウヨ「子どもの貧困率増加は高齢者が搾取してるから」←お年寄りの貧困率の方が子どもの貧困率より高い事実が発見される [無断転載禁止]&#169;2ch.net	 [786648259] (41)
1486853606.dat<>あなたは厳冬の八甲田山を行軍することになりました　生き残る方法を考えてください　ただし上官は無能なものとする [無断転載禁止]&#169;2ch.net	 [511393199] (238)
1486955145.dat<>バカ　「スカイリムやウイッチャーは戦闘をダクソにすれば神ゲーになるwwww」→仁王 [無断転載禁止]&#169;2ch.net	 [585351372] (303)
1487045598.dat<>また新たな福島差別か？　韓国LCC,福島空港行き便で搭乗員が乗車拒否　 [無断転載禁止]&#169;2ch.net	 [615284227] (20)
1486985620.dat<>大学中退モメンっているの？いるなら人生どうやって立て直したのか教えろ [無断転載禁止]&#169;2ch.net	 [947624545] (223)
1487045486.dat<>安倍政権が米国誘導した日米共同声明「辺野古が唯一」の実態は対米従属促進のためだった [無断転載禁止]&#169;2ch.net	 [771738842] (6)
1487049457.dat<>VR、目が見えない人でも利用できるとの研究結果 [無断転載禁止]&#169;2ch.net	 [895142347] (2)
1487017475.dat<>【嫌儲Steam部】 Humble Bundle 新参パック $30 【番外編】 [無断転載禁止]&#169;2ch.net	 [257790734] (22)
1487038898.dat<>小清水亜美って幸福の科学の映画に出てたけどやっぱ信者なの？ [無断転載禁止]&#169;2ch.net	 [609535295] (23)
1486982115.dat<>【Adguard】Androidで全アプリの広告を消そう [無断転載禁止]&#169;2ch.net	 [339454773] (34)
1486812057.dat<>派遣で工場勤務だけど、今作ってるものが何の部品なのか教えてくれない [無断転載禁止]&#169;2ch.net	 [186586446] (392)
1487037986.dat<>安倍昭恵夫人が名誉校長の日本会議の右翼小学校はわずか1カ月で「認可適当」と決定！！ [無断転載禁止]&#169;2ch.net	 [771738842] (22)
1486830114.dat<>露「え？北方領土のこの島名前なかったの？ロシアの将軍や政治家の名前付けたろ！」 [無断転載禁止]&#169;2ch.net	 [628229873] (103)
1486861709.dat<>【東芝】 原発以外の業績、当初予測を大幅に上回り好調！ 債務超過も回避へ 原発リスクも今期で解消し復活へ [無断転載禁止]&#169;2ch.net	 [219241683] (58)
1487042273.dat<>アメリカメディア「安倍首相はトランプ大統領に取り入ろうとしている。こんなに大統領におべっかを使う外国の首脳は見たことがない」 [無断転載禁止]&#169;2ch.net	 [253246518] (92)
1486886693.dat<>ペリペリペリ…iPhone7/7 Plusブラック、購入後もれなく何故か塗装ハゲ報告が相次ぐ [無断転載禁止]&#169;2ch.net	 [311660226] (270)
1487046598.dat<>「だいたいトランプ大統領」を新聞に掲載してしまい、謝罪。 [無断転載禁止]&#169;2ch.net	 [793337701] (13)
1486899922.dat<>【朗報】のりこえねっと怒りの著作権侵害報告　無断で転載されていた辛淑玉氏の発言動画が本日無事に削除された模様 [無断転載禁止]&#169;2ch.net	 [955781396] (32)
1486961072.dat<>女性教員がブチギレ「こんな目に遭うことまで想定して、教員になる奴なんていねーよバーーーカ！！」 [無断転載禁止]&#169;2ch.net	 [952522887] (504)
1487037202.dat<>中国「調味料で1番大事なのは塩、全ての基本は塩、これはいくら強調しても強調しすぎることはない。」 [無断転載禁止]&#169;2ch.net	 [372989558] (34)
1486992613.dat<>「NEW GAME!」のコラボカナルイヤフォンが発売。人気キャラ4人をイメージした4タイプ。価格は各5,000円 [無断転載禁止]&#169;2ch.net	 [208924962] (140)
1486880162.dat<>宮台真司「理性は敗北した。感情動員で大衆の行動が統計的に予測可能になり、理性的な意見はウザがられる。日本は相当ヤバイ」 [無断転載禁止]&#169;2ch.net	 [418558609] (811)
1487035916.dat<>タミフル飲んだら異常行動とるってやつ最近全然みないけど、どうして(´･ω･｀)？うそだったの？ [無断転載禁止]&#169;2ch.net	 [359394819] (6)
1487032770.dat<>日本の県のイニシャルを故あってまとめたので記録用にスレ立てる [無断転載禁止]&#169;2ch.net	 [539914983] (26)
1486981330.dat<>ヒャダインのフジテレビ批評が的確だと話題に [無断転載禁止]&#169;2ch.net	 [311848334] (563)
1486968251.dat<>女性会社員(37)「可哀想！イラストレーターの報酬が５００円って…。」　罪悪感を覚える発注者。 [無断転載禁止]&#169;2ch.net	 [793337701] (70)
1486984987.dat<>【悲報】JASRACの音楽教室から著作権料徴収によってほとんどの音楽教室は赤字に転落し、日本から音楽教室が無くなることが判明２ [無断転載禁止]&#169;2ch.net	 [947420374] (142)
1487048793.dat<>米国では盛り上がってるeスポーツ、NBAが『NBA 2K』の公式リーグを発足 [無断転載禁止]&#169;2ch.net	 [895142347] (2)
1486994093.dat<>フジテレビ「次の月９は社運を賭ける！目玉は中山美穂（４７）の全編メイド服姿だ！！！」 [無断転載禁止]&#169;2ch.net	 [368289528] (383)
1487023642.dat<>元駐韓大使「私は韓国人に生まれなくて本当に良かった。もの凄い過酷な競争社会ですから」 [無断転載禁止]&#169;2ch.net	 [535050937] (18)
1486988086.dat<>ニコン、想定以上の希望退職　「主力の衰え」隠せず      D500やD810のような市場を驚かせるようなカメラメーカーなのになぜ・・・ [無断転載禁止]&#169;2ch.net	 [977812651] (65)
1486979068.dat<>山崎製パンが正社員で募集してるぞ！59歳以下で学歴、経験・不問 [無断転載禁止]&#169;2ch.net	 [479556552] (221)
1487039726.dat<>大川隆法「こんにちわ、ドナルド・トランプです」 [無断転載禁止]&#169;2ch.net	 [594632409] (76)
1486864451.dat<>嫌儲Minecraft部 [無断転載禁止]&#169;2ch.net	 [648551699] (22)
1487018993.dat<>愛猫のための オリジナルIDカード「マイニャンバーカード」2017年2月22日（猫の日）に発売開始！！ [無断転載禁止]&#169;2ch.net	 [769327952] (41)
1486887158.dat<>佐々木俊尚「カルトの定義を言え。幸福の科学がカルトなら世界宗教だって原始段階ではカルト」 [無断転載禁止]&#169;2ch.net	 [406630752] (420)
1487038363.dat<>チョコレートを生産する人と消費する人の差 [無断転載禁止]&#169;2ch.net	 [247120801] (91)
1486893302.dat<>清水富美加さん、月給5万円だった　（日刊スポーツ、月給制に変更する）　★２ [無断転載禁止]&#169;2ch.net	 [583484177] (974)
1486909173.dat<>観光「圧倒的な一人負け」東北地方はどうすれば観光客が増やせるのか [無断転載禁止]&#169;2ch.net	 [368289528] (820)
1486999324.dat<>中川翔子の愛猫マミタス、反抗期。殴りかかったりパンツをくわえて嫌がらせ [無断転載禁止]&#169;2ch.net	 [732912476] (148)
1486946564.dat<>お前らの近くに被差別部落ってあった？ [無断転載禁止]&#169;2ch.net	 [591262568] (181)
1486982560.dat<>漫画誌「ガロ」出版社の元社員、組合に入った事への報復として執拗なパワハラを受けたため提訴 [無断転載禁止]&#169;2ch.net	 [275723402] (26)
1486986827.dat<>【おるかー】西濃運輸の平均残業時間１２０じかん【おるな】 [無断転載禁止]&#169;2ch.net	 [424896289] (18)
1486980837.dat<>27歳フリーターだけど先が見えない・・・　オススメの資格とか仕事ってある？ [無断転載禁止]&#169;2ch.net	 [527893826] (171)
1486969496.dat<>秋田、年内の人口１００万人割れ確定へ なにがいけないんだ [無断転載禁止]&#169;2ch.net	 [533895477] (274)
1487028048.dat<>東京都多摩市永山で1年前に起きた殺人事件。大手宅配会社に勤務してた29歳男を逮捕 [無断転載禁止]&#169;2ch.net	 [169521961] (26)
1487040283.dat<>横浜原発避難イジメ被害生徒の「恨み節」手紙でやっと横浜市教育長が１５０万円恐喝をイジメと認定 [無断転載禁止]&#169;2ch.net	 [771738842] (22)
1486996990.dat<>喫茶店で食うナポリタンの美味さ [無断転載禁止]&#169;2ch.net	 [368723689] (235)
1486971200.dat<>「助けて…殺さないで…」　千葉18才美少女拉致監禁強盗強姦生き埋め殺人事件　主犯井上「他の男が生き埋めにした。俺は知らん」 [無断転載禁止]&#169;2ch.net	 [789313175] (39)
1486875941.dat<>【疑惑】 「安倍晋三記念小学校」への寄付金求める振込票画像が出回る [無断転載禁止]&#169;2ch.net	 [219241683] (215)
